No,Kode/Nama Perusahaan,Nama,Tanggal Pencatatan,Saham,Papan Pencatatan
74,BBLD,Buana Finance Tbk.,1990-05-07,1.645.796.054,Pengembangan
75,BBMD,Bank Mestika Dharma Tbk.,2013-07-08,4.049.189.100,Utama
76,BBNI,Bank Negara Indonesia (Persero,1996-11-25,18.462.169.893,Utama
77,BBRI,Bank Rakyat Indonesia (Persero,2003-11-10,122.112.351.900,Utama
78,BBRM,Pelayaran Nasional Bina Buana ,2013-01-09,5.367.076.248,Utama
79,BBSS,Bumi Benowo Sukses Sejahtera T,2020-04-15,4.800.000.000,Pengembangan
80,BBTN,Bank Tabungan Negara (Persero),2009-12-17,10.484.100.000,Utama
81,BBYB,Bank Yudha Bhakti Tbk.,2015-01-13,6.595.177.287,Utama
82,BCAP,MNC Kapital Indonesia Tbk.,2001-06-08,39.760.851.927,Utama
83,BCIC,Bank JTrust Indonesia Tbk.,1997-06-25,9.912.003.256,Pengembangan
84,BCIP,Bumi Citra Permai Tbk.,2009-12-11,1.429.915.525,Pengembangan
85,BDMN,Bank Danamon Indonesia Tbk.,1989-12-06,9.675.817.341,Utama
86,BEEF,Estika Tata Tiara Tbk.,2019-01-10,1.884.312.565,Pengembangan
87,BEKS,Bank Pembangunan Daerah Banten,2001-07-13,63.468.336.053,Pengembangan
88,BELL,Trisula Textile Industries Tbk,2017-10-03,7.250.000.000,Pengembangan
89,BESS,Batulicin Nusantara Maritim Tb,2020-03-09,3.400.000.000,Pengembangan
90,BEST,Bekasi Fajar Industrial Estate,2012-04-10,9.647.311.150,Utama
91,BFIN,BFI Finance  Indonesia Tbk.,1990-05-16,15.967.115.620,Utama
92,BGTG,Bank Ganesha Tbk.,2016-05-12,11.063.309.400,Pengembangan
93,BHAT,Bhakti Multi Artha Tbk.,2020-04-15,5.000.000.000,Pengembangan
94,BHIT,MNC Investama Tbk.,1997-11-24,67.767.400.934,Utama
95,BIKA,Binakarya Jaya Abadi Tbk.,2015-07-14,592.280.000,Pengembangan
96,BIMA,Primarindo Asia Infrastructure,1994-08-30,608.175.716,Pengembangan
97,BINA,Bank Ina Perdana Tbk.,2014-01-16,5.597.831.250,Utama
98,BIPI,Astrindo Nusantara Infrastrukt,2010-02-11,44.693.066.193,Pengembangan
99,BIPP,Bhuwanatala Indah Permai Tbk.,1995-10-23,5.028.669.366,Pengembangan
100,BIRD,Blue Bird Tbk.,2014-11-05,2.502.100.000,Utama
101,BISI,BISI International Tbk.,2007-05-28,3.000.000.000,Utama
102,BJBR,Bank Pembangunan Daerah Jawa B,2010-07-08,9.740.399.289,Utama
103,BJTM,Bank Pembangunan Daerah Jawa T,2012-07-12,14.865.343.101,Utama
104,BKDP,Bukit Darmo Property Tbk,2007-06-15,7.513.992.252,Pengembangan
105,BKSL,Sentul City Tbk.,1997-07-28,67.083.561.082,Utama
106,BKSW,Bank QNB Indonesia Tbk.,2002-11-21,20.232.319.124,Pengembangan
107,BLTA,Berlian Laju Tanker Tbk,1990-03-26,25.940.187.103,Utama
108,BLTZ,Graha Layar Prima Tbk.,2014-04-10,873.937.142,Pengembangan
109,BLUE,Berkah Prima Perkasa Tbk.,2019-07-08,418.000.000,Pengembangan
110,BMAS,Bank Maspion Indonesia Tbk.,2013-07-11,4.399.026.922,Pengembangan
111,BMRI,Bank Mandiri (Persero) Tbk.,2003-07-14,46.199.999.998,Utama
112,BMSR,Bintang Mitra Semestaraya Tbk,1999-12-29,1.159.200.024,Utama
113,BMTR,Global Mediacom Tbk.,1995-07-17,16.034.511.286,Utama
114,BNBA,Bank Bumi Arta Tbk.,2006-06-01,2.286.900.000,Utama
115,BNBR,Bakrie & Brothers Tbk,1989-08-28,20.863.053.480,Pengembangan
116,BNGA,Bank CIMB Niaga Tbk.,1989-11-29,24.880.290.775,Utama
117,BNII,Bank Maybank Indonesia Tbk.,1989-11-21,75.357.433.911,Utama
118,BNLI,Bank Permata Tbk.,1990-01-15,27.762.311.813,Utama
119,BOGA,Bintang Oto Global Tbk.,2016-12-19,3.803.526.210,Pengembangan
120,BOLA,Bali Bintang Sejahtera Tbk.,2019-06-17,6.000.000.000,Pengembangan
121,BOLT,Garuda Metalindo Tbk.,2015-07-07,2.343.750.000,Pengembangan
122,BOSS,Borneo Olah Sarana Sukses Tbk.,2018-02-15,1.400.000.000,Pengembangan
123,BPFI,Batavia Prosperindo Finance Tb,2009-06-01,1.782.663.575,Pengembangan
124,BPII,Batavia Prosperindo Internasio,2014-07-08,562.224.662,Pengembangan
125,BPTR,Batavia Prosperindo Trans Tbk.,2018-07-09,1.550.000.000,Utama
126,BRAM,Indo Kordsa Tbk.,1990-09-05,450.000.000,Utama
127,BRIS,Bank BRIsyariah Tbk.,1911-01-01,9.618.952.363,Utama
128,BRMS,Bumi Resources Minerals Tbk.,2010-12-09,71.007.759.834,Pengembangan
129,BRNA,Berlina Tbk.,1989-11-06,979.110.000,Pengembangan
130,BRPT,Barito Pacific Tbk.,1993-10-01,93.388.003.300,Utama
131,BSDE,Bumi Serpong Damai Tbk.,2008-06-06,21.171.365.812,Utama
132,BSIM,Bank Sinarmas Tbk.,2010-12-13,17.263.895.026,Utama
133,BSSR,Baramulti Suksessarana Tbk.,2012-11-08,2.616.500.000,Pengembangan
134,BSWD,Bank Of India Indonesia Tbk.,2002-05-01,1.374.912.000,Pengembangan
135,BTEK,Bumi Teknokultura Unggul Tbk,2004-05-14,46.277.496.376,Pengembangan
136,BTEL,Bakrie Telecom Tbk.,2006-02-03,36.822.665.755,Utama
137,BTON,Betonjaya Manunggal Tbk.,2001-07-18,720.000.000,Pengembangan
138,BTPN,Bank BTPN Tbk.,2008-03-12,8.065.879.461,Utama
139,BTPS,Bank BTPN Syariah Tbk.,2018-05-08,7.626.663.000,Utama
140,BUDI,Budi Starch & Sweetener Tbk.,1995-05-08,4.498.997.362,Utama
141,BUKK,Bukaka Teknik Utama Tbk.,1995-01-09,2.640.452.000,Pengembangan
142,BULL,Buana Lintas Lautan Tbk.,2011-05-23,11.851.226.334,Utama
143,BUMI,Bumi Resources Tbk.,1990-07-30,67.408.426.881,Pengembangan
144,BUVA,Bukit Uluwatu Villa Tbk.,2010-07-12,6.811.269.200,Pengembangan
145,BVIC,Bank Victoria International Tb,1999-06-30,8.862.427.568,Utama
146,BWPT,Eagle High Plantations Tbk.,2009-10-27,31.525.291.000,Utama
147,BYAN,Bayan Resources Tbk.,2008-08-12,3.333.333.500,Utama
148,CAKK,Cahayaputra Asa Keramik Tbk.,2018-10-31,1.203.300.206,Pengembangan
149,CAMP,Campina Ice Cream Industry Tbk,2017-12-19,5.885.000.000,Utama
150,CANI,Capitol Nusantara Indonesia Tb,2014-01-16,833.440.000,Pengembangan
151,CARE,Metro Healthcare Indonesia Tbk,2020-03-13,33.250.000.000,Pengembangan
152,CARS,Industri dan Perdagangan Bintr,2017-04-10,15.000.000.000,Utama
153,CASA,Capital Financial Indonesia Tb,2016-07-19,54.476.243.456,Pengembangan
154,CASH,Cashlez Worldwide Indonesia Tb,2020-05-04,1.428.004.402,Akselerasi
155,CASS,Cardig Aero Services Tbk.,2011-12-05,2.086.950.000,Pengembangan
156,CBMF,Cahaya Bintang Medan Tbk.,2020-04-09,1.875.000.000,Pengembangan
157,CCSI,Communication Cable Systems In,2019-06-18,1.000.000.000,Pengembangan
158,CEKA,Wilmar Cahaya Indonesia Tbk.,1996-07-09,595.000.000,Utama
159,CENT,Centratama Telekomunikasi Indo,2001-11-01,31.183.464.900,Pengembangan
160,CFIN,Clipan Finance Indonesia Tbk.,1990-08-27,3.984.520.457,Utama
161,CINT,Chitose Internasional Tbk.,2014-06-27,1.000.000.000,Pengembangan
162,CITA,Cita Mineral Investindo Tbk.,2002-03-20,3.960.361.250,Pengembangan
163,CITY,Natura City Developments Tbk.,2018-09-28,5.402.681.845,Utama
164,CKRA,Cakra Mineral Tbk.,1999-05-19,5.106.021.090,Pengembangan
165,CLAY,Citra Putra Realty Tbk.,2019-01-18,2.570.000.000,Pengembangan
166,CLEO,Sariguna Primatirta Tbk.,2017-05-05,12.000.000.000,Utama
167,CLPI,Colorpak Indonesia Tbk.,2001-11-30,306.338.500,Pengembangan
168,CMNP,Citra Marga Nusaphala Persada ,1995-01-10,3.620.831.944,Utama
169,CMPP,AirAsia Indonesia Tbk.,1994-12-08,10.685.124.441,Pengembangan
170,CNKO,Exploitasi Energi Indonesia Tb,2001-11-21,8.956.361.206,Utama
171,CNTX,Century Textile Industry Tbk.,1979-05-22,70.000.000,Pengembangan
172,COCO,Wahana Interfood Nusantara Tbk,2019-03-20,560.247.438,Pengembangan
173,COWL,Cowell Development Tbk.,2007-12-19,4.871.214.021,Pengembangan
174,CPIN,Charoen Pokphand Indonesia Tbk,1991-03-18,16.398.000.000,Utama
175,CPRI,Capri Nusa Satu Properti Tbk.,2019-04-11,2.433.375.005,Pengembangan
176,CPRO,Central Proteina Prima Tbk.,2006-11-28,59.572.382.787,Utama
177,CSAP,Catur Sentosa Adiprana Tbk.,2007-12-12,4.458.352.920,Utama
178,CSIS,Cahayasakti Investindo Sukses ,2017-05-10,1.307.000.000,Pengembangan
179,CSMI,Cipta Selera Murni Tbk.,2020-04-09,816.061.500,Pengembangan
180,CSRA,Cisadane Sawit Raya Tbk.,2020-01-09,2.050.000.000,Pengembangan
181,CTBN,Citra Tubindo Tbk.,1989-11-28,800.371.500,Utama
182,CTRA,Ciputra Development Tbk.,1994-03-28,18.560.303.397,Utama
183,CTTH,Citatah Tbk.,1996-07-03,1.230.839.821,Pengembangan
184,DADA,Diamond Citra Propertindo Tbk.,2020-02-14,7.177.000.100,Pengembangan
185,DART,Duta Anggada Realty Tbk.,1990-05-08,3.141.390.962,Utama
186,DAYA,Duta Intidaya Tbk.,2016-06-28,2.420.547.025,Pengembangan
187,DEAL,Dewata Freightinternational Tb,2018-11-09,1.132.748.008,Pengembangan
188,DEFI,Danasupra Erapacific Tbk.,2001-07-06,687.266.666,Pengembangan
189,DEWA,Darma Henwa Tbk,2007-09-26,21.853.733.792,Utama
190,DFAM,Dafam Property Indonesia Tbk.,2018-04-27,1.899.599.565,Pengembangan
191,DGIK,Nusa Konstruksi Enjiniring Tbk,2007-12-19,5.541.165.000,Utama
192,DIGI,Arkadia Digital Media Tbk.,2018-09-18,325.000.000,Pengembangan
193,DILD,Intiland Development Tbk.,1991-09-04,10.365.854.185,Utama
194,DIVA,Distribusi Voucher Nusantara T,2018-11-27,714.285.700,Pengembangan
195,DKFT,Central Omega Resources Tbk.,1997-11-21,5.638.246.600,Pengembangan
196,DLTA,Delta Djakarta Tbk.,1984-02-27,800.659.050,Utama
197,DMAS,Puradelta Lestari Tbk.,2015-05-29,48.198.111.100,Utama
198,DMMX,Digital Mediatama Maxima Tbk.,2019-10-21,7.692.307.700,Pengembangan
199,DMND,Diamond Food Indonesia Tbk.,2020-01-22,9.468.359.000,Utama
200,DNAR,Bank Oke Indonesia Tbk.,2014-07-11,8.787.562.275,Utama
201,DNET,Indoritel Makmur Internasional,2000-12-11,14.184.000.000,Pengembangan
202,DOID,Delta Dunia Makmur Tbk.,2001-06-15,8.619.817.982,Utama
203,DPNS,Duta Pertiwi Nusantara Tbk.,1990-08-08,331.129.952,Utama
204,DPUM,Dua Putra Utama Makmur Tbk.,2015-12-08,4.175.000.000,Utama
205,DSFI,Dharma Samudera Fishing Indust,2000-03-24,1.857.135.500,Utama
206,DSNG,Dharma Satya Nusantara Tbk.,2013-06-14,10.599.842.400,Utama
207,DSSA,Dian Swastatika Sentosa Tbk,2009-12-10,770.552.320,Utama
208,DUCK,Jaya Bersama Indo Tbk.,2018-10-10,1.283.330.000,UTAMA
209,DUTI,Duta Pertiwi Tbk,1994-11-02,1.850.000.000,Pengembangan
210,DVLA,Darya-Varia Laboratoria Tbk.,1994-11-11,1.120.000.000,Utama
211,DWGL,Dwi Guna Laksana Tbk.,2017-12-13,8.711.599.331,Pengembangan
212,DYAN,Dyandra Media International Tb,2013-03-25,4.272.964.279,Utama
213,EAST,Eastparc Hotel Tbk.,2019-07-09,4.126.366.095,Pengembangan
214,ECII,Electronic City Indonesia Tbk.,2013-07-03,1.334.333.000,Pengembangan
215,EKAD,Ekadharma International Tbk.,1990-08-14,698.775.000,Utama
216,ELSA,Elnusa Tbk.,2008-02-06,7.298.500.000,Utama
217,ELTY,Bakrieland Development Tbk.,1995-10-30,43.521.913.019,Utama
218,EMDE,Megapolitan Developments Tbk.,2011-01-12,3.350.000.000,Pengembangan
219,EMTK,Elang Mahkota Teknologi Tbk.,2010-01-12,5.642.275.242,Utama
220,ENRG,Energi Mega Persada Tbk.,2004-06-07,10.342.179.272,Pengembangan
221,ENVY,Envy Technologies Indonesia Tb,2019-07-08,1.800.000.000,Pengembangan
222,EPAC,Megalestari Epack Sentosaraya ,2020-07-01,3.303.400.000,Pengembangan
223,EPMT,Enseval Putera Megatrading Tbk,1994-08-01,2.708.640.000,Pengembangan
224,ERAA,Erajaya Swasembada Tbk.,2011-12-14,3.190.000.000,Utama
225,ERTX,Eratex Djaja Tbk.,1990-08-21,1.286.539.792,Pengembangan
226,ESIP,Sinergi Inti Plastindo Tbk.,2019-11-14,640.000.005,Pengembangan
227,ESSA,Surya Esa Perkasa Tbk.,2012-02-01,14.300.000.000,Utama
228,ESTA,Esta Multi Usaha Tbk.,2020-03-09,630.000.000,Pengembangan
229,ESTI,Ever Shine Tex Tbk.,1992-10-13,2.015.208.720,Utama
230,ETWA,Eterindo Wahanatama Tbk,1997-05-16,968.297.000,Utama
231,EXCL,XL Axiata Tbk.,2005-09-29,10.706.012.530,Utama
232,FAST,Fast Food Indonesia Tbk.,1993-05-11,3.990.277.158,Pengembangan
233,FASW,Fajar Surya Wisesa Tbk.,1994-12-19,2.477.888.787,Utama
234,FILM,MD Pictures Tbk.,2018-08-07,9.511.217.000,Utama
235,FINN,First Indo American Leasing Tb,2017-06-08,1.860.225.000,Pengembangan
236,FIRE,Alfa Energi Investama Tbk.,2017-06-09,1.475.363.179,Pengembangan
237,FISH,FKS Multi Agro Tbk.,2002-01-18,480.000.000,Pengembangan
238,FITT,Hotel Fitra International Tbk.,2019-06-11,600.000.005,Pengembangan
239,FMII,Fortune Mate Indonesia Tbk,2000-06-30,2.721.000.000,Pengembangan
240,FOOD,Sentra Food Indonesia Tbk.,2019-01-08,650.000.000,Pengembangan
241,FORU,Fortune Indonesia Tbk,2002-01-17,465.224.000,Pengembangan
242,FORZ,Forza Land Indonesia Tbk.,2017-04-28,1.984.009.887,Utama
243,FPNI,Lotte Chemical Titan Tbk.,2002-03-21,5.566.414.000,Pengembangan
244,FREN,Smartfren Telecom Tbk.,2006-11-29,217.964.241.928,Utama
245,FUJI,Fuji Finance Indonesia Tbk.,2019-07-09,1.105.000.000,Pengembangan
246,GAMA,Aksara Global Development Tbk.,2012-07-11,10.011.027.656,Utama
247,GDST,Gunawan Dianjaya Steel Tbk.,2009-12-23,9.242.500.000,Pengembangan
248,GDYR,Goodyear Indonesia Tbk.,1980-12-22,410.000.000,Utama
249,GEMA,Gema Grahasarana Tbk.,2002-08-12,1.600.000.000,Pengembangan
250,GEMS,Golden Energy Mines Tbk.,2011-11-17,5.882.353.000,Utama
251,GGRM,Gudang Garam Tbk.,1990-08-27,1.924.088.000,Utama
252,GGRP,Gunung Raja Paksi Tbk.,2019-09-19,12.111.376.157,Pengembangan
253,GHON,Gihon Telekomunikasi Indonesia,2018-04-09,550.000.000,Utama
254,GIAA,Garuda Indonesia (Persero) Tbk,2011-02-11,25.886.576.254,Utama
255,GJTL,Gajah Tunggal Tbk.,1990-05-08,3.484.800.000,Utama
256,GLOB,Global Teleshop Tbk.,2012-07-10,1.111.112.000,Pengembangan
257,GLVA,Galva Technologies Tbk.,2019-12-23,1.500.000.000,Pengembangan
258,GMFI,Garuda Maintenance Facility Ae,2017-10-10,28.233.511.500,Utama
259,GMTD,Gowa Makassar Tourism Developm,2000-12-11,101.538.000,Pengembangan
260,GOLD,Visi Telekomunikasi Infrastruk,2010-07-07,1.277.276.000,Pengembangan
261,GOLL,Golden Plantation Tbk.,2014-12-23,3.665.000.759,Pengembangan
262,GOOD,Garudafood Putra Putri Jaya Tb,2018-10-10,7.379.580.291,Utama
263,GPRA,Perdana Gapuraprima Tbk.,2007-10-10,4.276.655.336,Utama
264,GREN,Evergreen Invesco Tbk.,2010-07-09,4.694.111.791,UTAMA
265,GSMF,Equity Development Investment ,1989-10-23,7.454.723.337,Pengembangan
266,GTBO,Garda Tujuh Buana Tbk,2009-07-09,2.500.000.000,Pengembangan
267,GWSA,Greenwood Sejahtera Tbk.,2011-12-23,7.800.760.000,Utama
268,GZCO,Gozco Plantations Tbk.,2008-05-15,6.000.000.000,Utama
269,HADE,Himalaya Energi Perkasa Tbk.,2004-04-12,2.120.000.000,Pengembangan
270,HDFA,Radana Bhaskara Finance Tbk.,2011-05-10,6.096.972.783,Utama
271,HDIT,Hensel Davest Indonesia Tbk.,2019-07-12,1.524.680.000,Utama
272,HDTX,Panasia Indo Resources Tbk.,1990-06-06,3.601.462.800,Utama
273,HEAL,Medikaloka Hermina Tbk.,2018-05-16,2.973.000.000,Utama
274,HELI,Jaya Trishindo Tbk.,2018-03-27,819.000.005,Pengembangan
275,HERO,Hero Supermarket Tbk.,1989-08-21,4.183.634.000,Utama
276,HEXA,Hexindo Adiperkasa Tbk.,1995-02-13,840.000.000,Utama
277,HITS,Humpuss Intermoda Transportasi,1997-12-15,7.101.084.801,Utama
278,HKMU,HK Metals Utama Tbk.,2018-10-09,3.221.750.000,Utama
279,HMSP,H.M. Sampoerna Tbk.,1990-08-15,116.318.076.900,Utama
280,HOKI,Buyung Poetra Sembada Tbk.,2017-06-22,2.386.305.700,Utama
281,HOME,Hotel Mandarine Regency Tbk.,2008-07-17,22.212.194.782,Pengembangan
282,HOTL,Saraswati Griya Lestari Tbk.,2013-01-10,3.550.001.452,Utama
283,HRME,Menteng Heritage Realty Tbk.,2019-04-12,5.958.750.000,Pengembangan
284,HRTA,Hartadinata Abadi Tbk.,2017-06-21,4.605.262.400,Utama
285,HRUM,Harum Energy Tbk.,2010-10-06,2.703.620.000,Utama
286,IATA,Indonesia Transport & Infrastr,2006-09-13,10.697.665.114,Pengembangan
287,IBFN,Intan Baruprana Finance Tbk.,2014-12-22,1.517.321.249,Pengembangan
288,IBST,Inti Bangun Sejahtera Tbk.,2012-08-31,1.350.904.927,Utama
289,ICBP,Indofood CBP Sukses Makmur Tbk,2010-10-07,11.661.908.000,Utama
290,ICON,Island Concepts Indonesia Tbk.,2005-07-08,1.089.750.000,Pengembangan
291,IDPR,Indonesia Pondasi Raya Tbk.,2015-12-10,2.003.000.000,Utama
292,IFII,Indonesia Fibreboard Industry ,2019-12-10,9.412.000.000,Utama
293,IFSH,Ifishdeco Tbk.,2019-12-05,2.125.000.000,Pengembangan
294,IGAR,Champion Pacific Indonesia Tbk,1990-11-05,972.204.500,Utama
295,IIKP,Inti Agri Resources Tbk,2002-10-14,33.600.000.000,Pengembangan
296,IKAI,Intikeramik Alamasri Industri ,1997-06-04,13.305.799.387,Utama
297,IKAN,Era Mandiri Cemerlang Tbk.,2020-02-12,833.333.000,Pengembangan
298,IKBI,Sumi Indo Kabel Tbk.,1991-01-21,1.224.000.000,Pengembangan
299,IMAS,Indomobil Sukses Internasional,1993-11-15,3.994.291.039,Utama
300,IMJS,Indomobil Multi Jasa Tbk.,2013-12-10,8.614.574.209,Utama
301,IMPC,Impack Pratama Industri Tbk.,2014-12-17,4.833.500.000,Pengembangan
302,INAF,Indofarma Tbk.,2001-04-17,3.099.267.500,Utama
303,INAI,Indal Aluminium Industry Tbk.,1994-12-05,633.600.000,Pengembangan
304,INCF,Indo Komoditi Korpora Tbk.,1989-12-18,1.438.370.465,Pengembangan
305,INCI,Intanwijaya Internasional Tbk,1990-07-24,196.121.237,Utama
306,INCO,Vale Indonesia Tbk.,1990-05-16,9.936.338.720,Utama
307,INDF,Indofood Sukses Makmur Tbk.,1994-07-14,8.780.426.500,Utama
308,INDO,Royalindo Investa Wijaya Tbk.,2020-01-13,4.309.161.400,Pengembangan
309,INDR,Indo-Rama Synthetics Tbk.,1990-08-03,654.351.707,Utama
310,INDS,Indospring Tbk.,1990-08-10,656.249.710,Utama
311,INDX,Tanah Laut Tbk,2001-05-17,437.913.588,Pengembangan
312,INDY,Indika Energy Tbk.,2008-06-11,5.210.192.000,Utama
313,INKP,Indah Kiat Pulp & Paper Tbk.,1990-07-16,5.470.982.941,Utama
314,INOV,Inocycle Technology Group Tbk.,2019-07-10,1.808.221.900,Pengembangan
315,INPC,Bank Artha Graha Internasional,1990-08-23,15.638.233.267,Utama
316,INPP,Indonesian Paradise Property T,2004-12-01,11.181.971.732,Pengembangan
317,INPS,Indah Prakasa Sentosa Tbk.,2018-04-06,650.000.000,Pengembangan
318,INRU,Toba Pulp Lestari Tbk.,1990-06-18,1.388.883.283,Pengembangan
319,INTA,Intraco Penta Tbk.,1993-08-23,3.343.935.022,Pengembangan
320,INTD,Inter Delta Tbk,1989-12-18,591.828.000,Pengembangan
321,INTP,Indocement Tunggal Prakarsa Tb,1989-12-05,3.681.231.699,Utama
322,IPCC,Indonesia Kendaraan Terminal T,2018-07-09,1.818.384.820,Utama
323,IPCM,Jasa Armada Indonesia Tbk.,2017-12-22,5.284.811.100,Pengembangan
324,IPOL,Indopoly Swakarsa Industry Tbk,2010-07-09,6.443.379.509,Utama
